date,task,start_time,end_time,focus_seconds,focus_minutes,focus_hours,break_seconds,break_minutes
2026-08-21,test,18:22:02,18:22:04,2.24,0.04,0.0,0.45,0.01
2026-08-21,test,18:22:11,18:22:20,8.88,0.15,0.0,1.78,0.03
2026-08-21,test,18:22:58,18:23:00,1.48,0.02,0.0,0.3,0.01
2026-08-21,test,18:23:27,18:23:35,7.31,0.12,0.0,1.46,0.02
2026-08-21,test,18:29:01,18:29:05,4.18,0.07,0.0,0.84,0.01
2026-08-21,test,18:33:19,18:33:21,1.63,0.03,0.0,0.33,0.01
2026-08-21,test,18:33:34,18:33:35,1.11,0.02,0.0,0.22,0.0
2026-08-21,test,18:36:29,18:36:31,2.44,0.04,0.0,0.49,0.01
2026-08-21,test,18:36:38,18:36:43,4.92,0.08,0.0,0.98,0.02
2026-08-21,test,18:59:32,18:59:33,1.75,0.03,0.0,0.35,0.01
2026-08-21,test,18:59:38,18:59:40,1.85,0.03,0.0,0.37,0.01
2026-08-21,test,19:09:57,19:09:59,1.8,0.03,0.0,0.36,0.01
2026-08-21,test,19:10:10,19:17:20,430.19,7.17,0.12,86.04,1.43
2026-08-21,test,19:17:28,19:17:31,2.91,0.05,0.0,0.58,0.01
2026-08-21,tes,19:27:40,19:27:41,1.2,0.02,0.0,0.24,0.0
2026-08-21,test,19:27:47,19:27:50,2.63,0.04,0.0,0.53,0.01
2026-08-21,test,19:27:55,19:27:56,1.02,0.02,0.0,0.2,0.0
